beat_index_0,source_bar,beat_in_bar,source_time_sec,retained_in_recommended_edit,edited_bar,edited_time_sec
151,38,4,68.884585,false,,
152,39,1,69.339131,false,,
153,39,2,69.793676,false,,
154,39,3,70.248222,false,,
155,39,4,70.702767,false,,
156,40,1,71.157313,false,,
157,40,2,71.611858,false,,
158,40,3,72.066404,false,,
159,40,4,72.520949,false,,
160,41,1,72.975494,true,25,43.884585
161,41,2,73.430040,true,25,44.339131
162,41,3,73.884585,true,25,44.793676
163,41,4,74.339131,true,25,45.248222
164,42,1,74.793676,true,26,45.702767
165,42,2,75.248222,true,26,46.157313
166,42,3,75.702767,true,26,46.611858
167,42,4,76.157313,true,26,47.066404
168,43,1,76.611858,true,27,47.520949
169,43,2,77.066404,true,27,47.975494
170,43,3,77.520949,true,27,48.430040
171,43,4,77.975494,true,27,48.884585
172,44,1,78.430040,true,28,49.339131
173,44,2,78.884585,true,28,49.793676
174,44,3,79.339131,true,28,50.248222
175,44,4,79.793676,true,28,50.702767
176,45,1,80.248222,true,29,51.157313
177,45,2,80.702767,true,29,51.611858
178,45,3,81.157313,true,29,52.066404
179,45,4,81.611858,true,29,52.520949
180,46,1,82.066404,true,30,52.975494
181,46,2,82.520949,true,30,53.430040
182,46,3,82.975494,true,30,53.884585
183,46,4,83.430040,true,30,54.339131
184,47,1,83.884585,true,31,54.793676
185,47,2,84.339131,true,31,55.248222
186,47,3,84.793676,true,31,55.702767
187,47,4,85.248222,true,31,56.157313
188,48,1,85.702767,true,32,56.611858
189,48,2,86.157313,true,32,57.066404
190,48,3,86.611858,true,32,57.520949
191,48,4,87.066404,true,32,57.975494
192,49,1,87.520949,true,33,58.430040
193,49,2,87.975494,true,33,58.884585
194,49,3,88.430040,true,33,59.339131
195,49,4,88.884585,true,33,59.793676
196,50,1,89.339131,true,34,60.248222
197,50,2,89.793676,true,34,60.702767
198,50,3,90.248222,true,34,61.157313
199,50,4,90.702767,true,34,61.611858
200,51,1,91.157313,true,35,62.066404
201,51,2,91.611858,true,35,62.520949
202,51,3,92.066404,true,35,62.975494
203,51,4,92.520949,true,35,63.430040
204,52,1,92.975494,true,36,63.884585
205,52,2,93.430040,true,36,64.339131
206,52,3,93.884585,true,36,64.793676
207,52,4,94.339131,true,36,65.248222
208,53,1,94.793676,true,37,65.702767
209,53,2,95.248222,true,37,66.157313
210,53,3,95.702767,true,37,66.611858
211,53,4,96.157313,true,37,67.066404
212,54,1,96.611858,true,38,67.520949
213,54,2,97.066404,true,38,67.975494
214,54,3,97.520949,true,38,68.430040
215,54,4,97.975494,true,38,68.884585
216,55,1,98.430040,true,39,69.339131
217,55,2,98.884585,true,39,69.793676
218,55,3,99.339131,true,39,70.248222
219,55,4,99.793676,true,39,70.702767
220,56,1,100.248222,true,40,71.157313
221,56,2,100.702767,true,40,71.611858
222,56,3,101.157313,true,40,72.066404
223,56,4,101.611858,true,40,72.520949
224,57,1,102.066404,true,41,72.975494
225,57,2,102.520949,true,41,73.430040
226,57,3,102.975494,true,41,73.884585
227,57,4,103.430040,true,41,74.339131
228,58,1,103.884585,true,42,74.793676
229,58,2,104.339131,true,42,75.248222
230,58,3,104.793676,true,42,75.702767
231,58,4,105.248222,true,42,76.157313
232,59,1,105.702767,true,43,76.611858
233,59,2,106.157313,true,43,77.066404
234,59,3,106.611858,true,43,77.520949
235,59,4,107.066404,true,43,77.975494
236,60,1,107.520949,true,44,78.430040
237,60,2,107.975494,true,44,78.884585
238,60,3,108.430040,true,44,79.339131
239,60,4,108.884585,true,44,79.793676
240,61,1,109.339131,true,45,80.248222
241,61,2,109.793676,true,45,80.702767
242,61,3,110.248222,true,45,81.157313
243,61,4,110.702767,true,45,81.611858
244,62,1,111.157313,true,46,82.066404
245,62,2,111.611858,true,46,82.520949
246,62,3,112.066404,true,46,82.975494
247,62,4,112.520949,true,46,83.430040
248,63,1,112.975494,true,47,83.884585
249,63,2,113.430040,true,47,84.339131
250,63,3,113.884585,true,47,84.793676
251,63,4,114.339131,true,47,85.248222
252,64,1,114.793676,true,48,85.702767
253,64,2,115.248222,true,48,86.157313
254,64,3,115.702767,true,48,86.611858
255,64,4,116.157313,true,48,87.066404
256,65,1,116.611858,true,49,87.520949
257,65,2,117.066404,true,49,87.975494
258,65,3,117.520949,true,49,88.430040
259,65,4,117.975494,true,49,88.884585
260,66,1,118.430040,true,50,89.339131
261,66,2,118.884585,true,50,89.793676
262,66,3,119.339131,true,50,90.248222
263,66,4,119.793676,true,50,90.702767
264,67,1,120.248222,true,51,91.157313
265,67,2,120.702767,true,51,91.611858
266,67,3,121.157313,true,51,92.066404
267,67,4,121.611858,true,51,92.520949
268,68,1,122.066404,true,52,92.975494
269,68,2,122.520949,true,52,93.430040
270,68,3,122.975494,true,52,93.884585
271,68,4,123.430040,true,52,94.339131
272,69,1,123.884585,true,53,94.793676
273,69,2,124.339131,true,53,95.248222
274,69,3,124.793676,true,53,95.702767
275,69,4,125.248222,true,53,96.157313
276,70,1,125.702767,true,54,96.611858
277,70,2,126.157313,true,54,97.066404
278,70,3,126.611858,true,54,97.520949
279,70,4,127.066404,true,54,97.975494
280,71,1,127.520949,true,55,98.430040
281,71,2,127.975494,true,55,98.884585
282,71,3,128.430040,true,55,99.339131
283,71,4,128.884585,true,55,99.793676
284,72,1,129.339131,true,56,100.248222
285,72,2,129.793676,true,56,100.702767
286,72,3,130.248222,true,56,101.157313
287,72,4,130.702767,true,56,101.611858
288,73,1,131.157313,true,57,102.066404
289,73,2,131.611858,true,57,102.520949
290,73,3,132.066404,true,57,102.975494
291,73,4,132.520949,true,57,103.430040
292,74,1,132.975494,true,58,103.884585
293,74,2,133.430040,true,58,104.339131
294,74,3,133.884585,true,58,104.793676
295,74,4,134.339131,true,58,105.248222
296,75,1,134.793676,true,59,105.702767
297,75,2,135.248222,true,59,106.157313
298,75,3,135.702767,true,59,106.611858
299,75,4,136.157313,true,59,107.066404
300,76,1,136.611858,true,60,107.520949
301,76,2,137.066404,true,60,107.975494
302,76,3,137.520949,true,60,108.430040
303,76,4,137.975494,true,60,108.884585
304,77,1,138.430040,true,61,109.339131
305,77,2,138.884585,true,61,109.793676
306,77,3,139.339131,true,61,110.248222
307,77,4,139.793676,true,61,110.702767
308,78,1,140.248222,true,62,111.157313
309,78,2,140.702767,true,62,111.611858
310,78,3,141.157313,true,62,112.066404
311,78,4,141.611858,true,62,112.520949
312,79,1,142.066404,true,63,112.975494
313,79,2,142.520949,true,63,113.430040
314,79,3,142.975494,true,63,113.884585
315,79,4,143.430040,true,63,114.339131
316,80,1,143.884585,true,64,114.793676
317,80,2,144.339131,true,64,115.248222
318,80,3,144.793676,true,64,115.702767
319,80,4,145.248222,true,64,116.157313
320,81,1,145.702767,true,65,116.611858
321,81,2,146.157313,true,65,117.066404
322,81,3,146.611858,true,65,117.520949
323,81,4,147.066404,true,65,117.975494
324,82,1,147.520949,true,66,118.430040
325,82,2,147.975494,true,66,118.884585
326,82,3,148.430040,true,66,119.339131
327,82,4,148.884585,true,66,119.793676
328,83,1,149.339131,true,67,120.248222
329,83,2,149.793676,true,67,120.702767
330,83,3,150.248222,true,67,121.157313
331,83,4,150.702767,true,67,121.611858
332,84,1,151.157313,true,68,122.066404
333,84,2,151.611858,true,68,122.520949
334,84,3,152.066404,true,68,122.975494
335,84,4,152.520949,true,68,123.430040
336,85,1,152.975494,true,69,123.884585
337,85,2,153.430040,true,69,124.339131
338,85,3,153.884585,true,69,124.793676
339,85,4,154.339131,true,69,125.248222
340,86,1,154.793676,true,70,125.702767
341,86,2,155.248222,true,70,126.157313
342,86,3,155.702767,true,70,126.611858
